year,iPhone,YOY growth
07,3.7039999999999997,0.0
08,13.675,769.94
09,25.105000000000004,856.22
10,47.486999999999995,369.23
11,93.102,404.48
12,135.791,202.65
13,153.493,59.14
14,192.66199999999998,91.62
15,231.529,97.71000000000001
16,215.39499999999998,-31.890000000000004
17,215.782,2.0300000000000002
18,140.406,3.98
