iPhone,YOY growth
3.7039999999999997,0.0
13.675,769.94
25.105000000000004,856.22
47.486999999999995,369.23
93.102,404.48
135.791,202.65
153.493,59.14
192.66199999999998,91.62
231.529,97.71000000000001
215.39499999999998,-31.890000000000004
215.782,2.0300000000000002
140.406,3.98
1.666,0.0
8.645999999999999,1227.35
15.671,824.8699999999999
29.84,373.75
59.709,421.1
85.402,190.56
93.11699999999999,41.00000000000001
120.675,101.19
155.494,150.29
139.44299999999998,-49.029999999999994
148.04500000000002,19.32
155.766,44.06
146.356,-30.729999999999997
