year,iPhone,YOY growth
07,1.666,0.0
08,8.645999999999999,1227.35
09,15.671,824.8699999999999
10,29.84,373.75
11,59.709,421.1
12,85.402,190.56
13,93.11699999999999,41.00000000000001
14,120.675,101.19
15,155.494,150.29
16,139.44299999999998,-49.029999999999994
17,148.04500000000002,19.32
18,155.766,44.06
19,146.356,-30.729999999999997
